Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
Q8VCB2	2178.3289	1670.5455	2659.6023	2358.804	1798.464	1968.5311	2716.0659	1740.9822	2010.6403	1376.8693	1884.1229	0	0	0	0	0
Q8VCC8	13257.8657	10122.489300000001	16125.9326	12940.984400000001	11707.1065	10013.1106	13270.242699999999	10532.4927	13433.145499999999	8808.5979	9209.7595	0	0	0	0	235.443
Q8VCC9	3599.7271	11015.9697	5465.6348	5869.9009	3295.8418	11902.3379	3646.0872	4788.0229	6803.9033	7537.6089	2135.5869	0	0	0	0	0
Q8VCF0	44138.3574	25329.392099999997	56182.923800000004	35736.0095	29760.776899999997	24459.4056	35723.8447	28964.48	40125.6343	20618.1881	28701.9829	0	0	0	0	0
Q8VCG1	15235.6807	11511.7807	21828.0605	14341.209900000002	12336.8293	7768.4863	14710.788499999999	12132.975999999999	17521.565000000002	10764.8315	10121.0879	276.8941	0	0	0	0
Q8VCG4	6560.665800000001	7587.6306	8615.7175	6295.771	5073.625599999999	8189.0243	5904.3697	6618.5185	6490.2473	6956.8717	5918.6859	0	0	0	0	0
Q8VCH0	176398.0453	57912.0985	175420.1662	170279.82189999998	110563.4444	49352.525499999996	168116.365	96269.6353	129702.32500000001	42325.6289	122693.1136	572.6114	2435.0338	0	0	0
Q8VCH6	2490.9001	1962.853	4268.8652	3157.6323	3208.9329	1384.3302	2828.1738	2616.7549	2597.7527	1739.9689	3501.3401	0	0	0	0	0
Q8VCH7	21529.3471	16147.666000000001	25162.7666	21099.569900000002	17496.3686	13733.2505	20279.2788	15198.1172	20316.0777	13713.9336	19782.588799999998	531.3427	0	0	0	0
Q8VCH8	22326.1484	16278.6797	28958.5391	22816.8535	18834.5801	14892.2842	21823.8711	18128.2539	21900.5352	15186.2314	16881.9336	646.2599	325.3366	0	0	0
